SYMBOL;Name;LastSale;MarketCap;IPOyear;Sector;industry
TFSC;1347 Capital Corp.;9.83;$58.47M;2014;Finance;Business Services
TFSCR;1347 Capital Corp.;0.164;n/a;2014;Finance;Business Services
TFSCU;1347 Capital Corp.;10.18;$42.55M;2014;Finance;Business Services
TFSCW;1347 Capital Corp.;0.1401;n/a;2014;Finance;Business Services
PIH;1347 Property Insurance Holdings, Inc.;7.45;$46.07M;2014;Finance;Property-Casualty Insurers
FLWS;1-800 FLOWERS.COM, Inc.;7.38;$478.68M;1999;Consumer Services;Other Specialty Stores
FCTY;1st Century Bancshares, Inc;7.74;$79.89M;n/a;Finance;Major Banks
FCCY;1st Constitution Bancorp (NJ);12.42;$93.73M;n/a;Finance;Savings Institutions
SRCE;1st Source Corporation;31.57;$823.41M;n/a;Finance;Major Banks
VNET;21Vianet Group, Inc.;21.24;$1.85B;2011;Technology;Computer Software: Programming, Data Processing
TWOU;2U, Inc.;27.89;$1.27B;2014;Technology;Computer Software: Prepackaged Software
DGLD;3X Inverse Gold ETN Velocityshares;91.69;$12.47M;n/a;Finance;Investment Bankers/Brokers/Service
DSLV;3X Inverse Silver ETN Velocityshares;65.74;$37.27M;n/a;Finance;Investment Bankers/Brokers/Service
UGLD;3X Long Gold ETN Velocityshares;7.61;$7.5M;n/a;Finance;Investment Bankers/Brokers/Service
USLV;3X Long Silver ETN Velocityshares;10.81;$21.21M;n/a;Finance;Investment Bankers/Brokers/Service
JOBS;51job, Inc.;30.74;$1.81B;2004;Technology;Diversified Commercial Services
SIXD;6D Global Technologies, Inc.;2.9;$226.92M;n/a;Consumer Services;Professional Services
CAFD;8point3 Energy Partners LP;15.76;$1.12B;2015;Public Utilities;Electric Utilities: Central
EGHT;8x8 Inc;11.06;$987.5M;n/a;Public Utilities;Telecommunications Equipment
AVHI;A V Homes, Inc.;13.29;$296.95M;n/a;Capital Goods;Homebuilding
SHLM;A. Schulman, Inc.;31.12;$911.69M;1972;Basic Industries;Major Chemicals
AAON;AAON, Inc.;23.1;$1.25B;n/a;Capital Goods;Industrial Machinery/Components
ABAX;ABAXIS, Inc.;53.99;$1.23B;1992;Capital Goods;Industrial Machinery/Components
ABY;Abengoa Yield plc;18.46;$1.85B;2014;Public Utilities;Electric Utilities: Central
ABGB;Abengoa, S.A.;1.55;$285.46M;2013;Consumer Services;Military/Government/Technical
ABEO;Abeona Therapeutics Inc.;3.52;$115.22M;n/a;Health Care;Major Pharmaceuticals
ABEOW;Abeona Therapeutics Inc.;1.4;n/a;n/a;Health Care;Major Pharmaceuticals
ABMD;ABIOMED, Inc.;87.68;$3.72B;n/a;Health Care;Medical/Dental Instruments
AXAS;Abraxas Petroleum Corporation;0.8711;$92.64M;n/a;Energy;Oil & Gas Production
ACTG;Acacia Research Corporation;3.96;$200.92M;n/a;Miscellaneous;Multi-Sector Companies
ACHC;Acadia Healthcare Company, Inc.;62.34;$4.47B;n/a;Health Care;Medical Specialities
ACAD;ACADIA Pharmaceuticals Inc.;34.27;$3.46B;1985;Health Care;Major Pharmaceuticals
ACST;Acasti Pharma, Inc.;2.77;$29.53M;n/a;Health Care;Major Pharmaceuticals
AXDX;Accelerate Diagnostics, Inc.;21.81;$975.76M;n/a;Capital Goods;Biotechnology: Laboratory Analytical Instruments
